                  11,-0.0001285582569458001,-0.01028741790032216,                   0,   85077.40358634818,  -562.4207643303865,   6779627.591936585,   85077.40262132218,                   0,   6779627.395568592
                11.5,-0.0001305134584711916,  -0.011359830659648,                   0,   88909.50445712953,  -784.1479423748004,   6779578.280683759,   88909.50311164405,                   0,   6779578.006898759
                  12,-0.0001323265129808733, -0.0124578833848279,                   0,   92741.57679711384,  -933.2828863950452,   6779526.778046346,   92741.57519572286,                   0,   6779526.452189595
                12.5,-0.0001342296047107537,-0.01357425795662609,                   0,   96573.61931931805,  -973.3145122970818,   6779473.071293104,   96573.61764922354,                   0,   6779472.731457781
                  13,-0.0001362285633485207, -0.0147013846089478,                   0,   100405.6307825986,  -894.4423131015678,   6779417.157019385,   100405.6292478203,                   0,   6779416.844720688
                13.5,-0.0001380949621068228,-0.01583154589891688,                   0,   104237.6099957697,  -715.9757103288265,   6779359.041984954,   104237.6087671967,                   0,   6779358.791996378
                  14,-0.0001394184608834644,-0.01695698270495578,                   0,   108069.5558094936,  -481.6067386297194,   6779298.741463602,   108069.5549830468,                   0,   6779298.573303607
                14.5,-0.0001397066290131489,-0.01807000079697563,                   0,   111901.4670979316,  -248.7134007983047,    6779236.27550876,   111901.4666710747,                   0,   6779236.188661822
                  15,-0.0001385078179570945,-0.01916307651502082,                   0,   115733.3427346616,  -74.31243625937097,   6779171.664050578,   115733.3426069954,                   0,   6779171.638091163
                15.5,-0.0001355269707260596,-0.02022896010505267,                   0,   119565.1815694059,  -1.100533712491003,   6779104.922079208,   119565.1815665351,                   0,    6779104.92161246
                  16,-0.0001307059438557162,-0.02126077529272219,                   0,   123396.9828861892,  -47.00133644264925,   6779036.095970233,   123396.9823254315,                   0,   6779036.039247237
                16.5,-0.000124248566407895,-0.02225211372718344,                   0,   127228.7460555495,  -200.7774015555854,   6778965.233382656,   127228.7436594343,                   0,   6778964.991017708
                  17,-0.0001165841522734649,-0.02319712299859902,                   0,   131060.4694138784,  -424.7814088696509,   6778892.289726849,   131060.4643443058,                   0,    6778891.77694678
                17.5,-0.0001082782142146497,-0.02409058702107327,                   0,    134892.151082501,  -664.1728969287076,   6778817.198828766,   134892.1431558207,                   0,   6778816.397058053
                  18,-9.991202104218822e-05, -0.0249279976764239,                   0,   138723.7891377525,  -860.3442549575403,   6778739.889963808,    138723.778869767,                   0,   6778738.851375818
                18.5,-9.196023728716014e-05,-0.02570561673437474,                   0,   142555.3817822529,  -965.2689859001739,   6778660.305180489,   142555.3702619463,                   0,   6778659.139925059
                  19,-8.469632769005673e-05,-0.02642052719825829,                   0,   146386.9274852379,   -953.259510629876,   6778578.413494595,   146386.9161081739,                   0,   6778577.262731448
                19.5,-7.814858867654406e-05,-0.02707067337059018,                   0,   150218.4250576175,  -827.2559781793184,   6778494.218481147,   150218.4151842798,                   0,   6778493.219821353
